state_name,city,"ROUND(AVG(Median),1)"
California,Albany,300000
California,Emeryville,300000
California,Williams,300000
California,"Grover Beach",300000
California,"Beale Afb",300000
Connecticut,Wilton,300000
Connecticut,Clinton,300000
Florida,"Santa Rosa Beach",300000
Illinois,Roscoe,300000
Illinois,Westchester,300000
Illinois,"Bedford Park",300000
Illinois,"West Dundee",300000
Illinois,"Grant Park",300000
Indiana,Woodburn,300000
Indiana,"New Haven",300000
Indiana,"Floyds Knobs",300000
Indiana,Plainfield,300000
Indiana,Greentown,300000
Indiana,Russiaville,300000
Kansas,Canton,300000
Kentucky,Rineyville,300000
Kentucky,"Villa Hills",300000
Maine,Richmond,300000
Maine,Jackman,300000
Maryland,"La Plata",300000
Maryland,"New Market",300000
Massachusetts,Topsfield,300000
Massachusetts,Andover,300000
Massachusetts,Medfield,300000
Massachusetts,Sharon,300000
Massachusetts,Whitman,300000
Massachusetts,Harvard,300000
Minnesota,"Fountain City",300000
Minnesota,Warroad,300000
Minnesota,"New London",300000
Minnesota,Chisholm,300000
Minnesota,Scandia,300000
Minnesota,"Lake Elmo",300000
Minnesota,Oakdale,300000
Missouri,Hornersville,300000
Missouri,Spokane,300000
Missouri,Hume,300000
Missouri,"Mt Vernon",300000
Montana,Sunburst,300000
Nebraska,"Broken Bow",300000
Nebraska,Dorchester,300000
Nebraska,Imperial,300000
"New Jersey","Elmwood Park",300000
"New Jersey",Maywood,300000
"New Jersey",Audubon,300000
"New Jersey",Clayton,300000
"New Jersey","Red Bank",300000
"New Mexico",Mountainair,300000
"New Mexico",Estancia,300000
"New Mexico","Silver City",300000
"New York","North Salem",300000
"New York","North Merrick",300000
"New York","Glen Head",300000
"New York",Bethpage,300000
"New York","Stony Point",300000
"New York",Bohemia,300000
"New York","Ocean Beach",300000
"New York","Fishers Island",300000
"New York",Delhi,300000
"North Carolina",Elkin,300000
"North Dakota",Zeeland,300000
Ohio,Weirton,300000
Ohio,Northfield,300000
Ohio,Elida,300000
Ohio,"New Carlisle",300000
Ohio,Pickerington,300000
Oregon,Warren,300000
Oregon,Scio,300000
Pennsylvania,Breinigsville,300000
Pennsylvania,Darlington,300000
Pennsylvania,"New Hope",300000
Pennsylvania,Zelienople,300000
Pennsylvania,Clarion,300000
Pennsylvania,Wallingford,300000
Pennsylvania,Quarryville,300000
Pennsylvania,"Blue Bell",300000
Pennsylvania,Gladwyne,300000
Pennsylvania,Gilbertsville,300000
"South Dakota",Wall,300000
Tennessee,"Signal Mtn",300000
Texas,Skidmore,300000
Texas,Ingleside,300000
Texas,Portland,300000
Texas,Columbus,300000
Utah,"Dutch John",300000
Utah,"North Logan",300000
Virginia,Cleveland,300000
Washington,Thorp,300000
Washington,"Kettle Falls",300000
Washington,Ilwaco,300000
Washington,Carnation,300000
Wisconsin,"Wisconsin Dells",300000
Wisconsin,Fitchburg,300000
Wyoming,Harrison,300000
Wyoming,"Green River",300000
California,"East Palo Alto",300000
California,Dixon,300000
Colorado,Kremmling,300000
Connecticut,Plainville,300000
Connecticut,Centerbrook,300000
Connecticut,"Mansfield Center",300000
Florida,Bokeelia,300000
Georgia,Dunwoody,300000
Idaho,Leadore,300000
Illinois,"East Alton",300000
Illinois,Mascoutah,300000
Illinois,Galatia,300000
Illinois,Monee,300000
Indiana,Danville,300000
Indiana,"Cedar Lake",300000
Iowa,Truro,300000
Kansas,Chanute,300000
Kentucky,Pembroke,300000
Kentucky,Simpsonville,300000
Louisiana,Stonewall,300000
Louisiana,"Church Point",300000
Louisiana,Lockport,300000
Maine,Raymond,300000
Maryland,Linthicum,300000
Maryland,Crownsville,300000
Maryland,Monrovia,300000
Maryland,Ijamsville,300000
Maryland,Abingdon,300000
Massachusetts,"East Sandwich",300000
Massachusetts,"East Falmouth",300000
Massachusetts,Wenham,300000
Massachusetts,"West Newbury",300000
Massachusetts,"East Bridgewater",300000
Massachusetts,Carver,300000
Massachusetts,Winchendon,300000
