state_name,city,"ROUND(AVG(Mean),1)"
Massachusetts,Dunstable,130749
"New Jersey",Englishtown,130694.5
"New Jersey","Saddle River",130663
Massachusetts,Topsfield,130593.5
Massachusetts,Newtonville,130485
Washington,Carnation,130437.5
"New Jersey",Hainesport,130359
Illinois,Cary,130324.8
Ohio,Maineville,130212
"New York",Northport,130129.5
California,"San Mateo",130092.3
California,"Los Olivos",130078
California,Piedmont,130069
Massachusetts,Scituate,130056
Massachusetts,Medway,130026
Ohio,Solon,130003
"New Jersey",Moorestown,129973
Minnesota,Edina,129952.4
Connecticut,Granby,129937
Texas,Mansfield,129843.5
Wisconsin,"Elm Grove",129814
"New Jersey",Flemington,129621
"New York","South Hempstead",129541.7
Virginia,Leesburg,129529
California,"Rancho Palos Verdes",129413.5
Virginia,Lorton,129360.8
Colorado,Jamestown,129356
Illinois,Gurnee,129296.7
Maryland,Leonardtown,129260
Texas,Sunnyvale,129241
"Rhode Island",Clayville,129181
California,"Marina Del Rey",129091
"New Jersey",Madison,128933.5
Wisconsin,Waunakee,128827.5
California,"Mission Viejo",128766
Ohio,"New Albany",128725
Massachusetts,Hanover,128679
"New York",Larchmont,128665
California,"San Anselmo",128552.3
Ohio,"Liberty Twp",128537
California,"Foster City",128534.3
"New York","New City",128390.3
Texas,Frisco,128353.1
Pennsylvania,Furlong,128209
Washington,Woodinville,128102.2
"New York",Melville,128026.7
"New York",Shoreham,128006
"New York","Honeoye Falls",127898
"New York","East Hampton",127841
"New York","Great Neck",127772.8
"New York","Wading River",127693
Maryland,"North Potomac",127670
"New Jersey",Medford,127653
Pennsylvania,"Plymouth Meeting",127556
"New Jersey",Whippany,127535.5
"New Jersey",Edgewater,127402.5
Michigan,Birmingham,127330.7
Virginia,Lovettsville,127267
"New Jersey",Morganville,127256.5
Michigan,"Grosse Pointe Farms",127188.2
Florida,"Bay Harbor Islands",127157.7
"New York",Medford,127156.5
"New Jersey",Wyckoff,126994.5
"New York","Dix Hills",126795
Minnesota,Shakopee,126672
California,"Union City",126666
California,Pleasanton,126645.8
"New York","West Islip",126628.5
"New Hampshire",Contoocook,126550
"New Jersey",Livingston,126392
"New York",Oakdale,126385
Washington,"Bainbridge Island",126314.5
"New Jersey","Old Tappan",126112
California,"Los Gatos",126043
"New Jersey",Waldwick,126015
California,Inyokern,125966
"New Jersey",Roosevelt,125960
"New Jersey","Glen Ridge",125910
Illinois,"Long Grove",125903.7
California,Moorpark,125805.7
Iowa,Johnston,125510
Connecticut,Coventry,125500.5
"New Jersey","Scotch Plains",125404.5
Pennsylvania,"Huntingdon Valley",125078.3
Illinois,"Glen Ellyn",125002.3
Pennsylvania,Doylestown,124974
California,Kingsburg,124958
"New Jersey",Millburn,124954
"New York","Garden City Park",124877
Pennsylvania,Limerick,124877
Illinois,Naperville,124742.6
Massachusetts,Natick,124697.5
"New York",Elwood,124628
Colorado,Erie,124457.7
Massachusetts,Uxbridge,124378
Ohio,Bexley,124349
Texas,Buda,124270
Missouri,Clayton,124222.7
"New York",Seaford,124196.5
"New York",Farmingville,124185
"New York","Stewart Manor",124149
Massachusetts,Andover,124116
"New York",Bridgehampton,124033.5
"New Hampshire",Stratham,124010
Colorado,Conifer,123998
Ohio,Hilliard,123961.8
"Rhode Island",Seekonk,123912
Massachusetts,"North Andover",123752.3
California,"Santa Clara",123682.1
Massachusetts,Arlington,123628.8
Ohio,"Chagrin Falls",123582.5
Connecticut,Burlington,123550.5
California,"Playa Del Rey",123371
"New Hampshire",Bedford,123333
Connecticut,"West Hartford",123303.7
Massachusetts,Newton,123219
Pennsylvania,Collegeville,123211
"New York",Lincolndale,123184
"New Jersey",Millington,123103
California,Herlong,123055
"New York","Massapequa Park",122882
Alabama,Odenville,122838.7
Texas,"Highland Village",122832
Massachusetts,Abington,122831
"South Carolina","Johns Island",122823
Oregon,"West Linn",122818
Michigan,Rochester,122633.5
Ohio,Powell,122556
Virginia,Warrenton,122447.3
"New York",Elmsford,122366.5
California,"Sierra Madre",122326
"New York","Huntington Station",122308.5
Florida,Aventura,122284.2
Massachusetts,Marshfield,122255.7
Connecticut,"New Fairfield",122211.5
"New Hampshire",Pelham,122178
Maryland,"Forest Hill",122177.5
Connecticut,Centerbrook,122136
Illinois,"Carol Stream",122097.5
California,"Cameron Park",122054
Florida,"Cooper City",121979
"New Jersey",Ringoes,121976
Pennsylvania,Wynnewood,121970.3
"New Jersey",Paramus,121952
"New York","White Plains",121896.8
Massachusetts,Northborough,121888.5
Oregon,"Happy Valley",121885
Michigan,Dexter,121875.5
Connecticut,Glastonbury,121767.5
"New Jersey",Oradell,121729
Maryland,Clinton,121692
Massachusetts,Norwell,121653
"New York",Blauvelt,121606.7
Washington,Newcastle,121569.5
California,Sunnyvale,121553.5
Wisconsin,Germantown,121533
Illinois,Elburn,121476.5
Massachusetts,Melrose,121412.3
Massachusetts,Hingham,121290
"New Jersey",Mickleton,121251
Virginia,Centreville,121188.4
"New York","Lake Grove",121167
Colorado,Larkspur,121159
Texas,Tomball,121059.7
"New York",Bayville,120921
"New Jersey",Newton,120888.7
"New Jersey",Howell,120885
California,"Laguna Niguel",120875.1
Maryland,Huntingtown,120836
Virginia,Arlington,120821.5
Georgia,Alpharetta,120771.8
"New Hampshire",Windham,120736
Ohio,Lewis,120713
Minnesota,Minnetonka,120690.4
Washington,Bellevue,120660.6
"New Jersey",Bridgewater,120626
Connecticut,Sherman,120615
California,"Rancho Santa Margarita",120556.4
"New York","Shelter Island",120352
"New Jersey",Allendale,120255
Tennessee,Brentwood,120246.3
Pennsylvania,Fairview,120210.5
"North Carolina",Summerfield,120146
"New York","Miller Place",119979.5
Florida,Lithia,119950
Maine,"Cape Elizabeth",119928
"New Jersey","Bay Head",119923
"New York",Oceanside,119904.7
"New York","Shrub Oak",119859
California,"Studio City",119846.5
"New York",Laurelton,119799
Arizona,Anthem,119672.7
"New Jersey",Ramsey,119641
Maryland,Bowie,119568.8
Pennsylvania,"Glen Mills",119533
Massachusetts,"North Reading",119524
"New Jersey",Quakertown,119500
Pennsylvania,Wallingford,119494
"New Jersey",Cresskill,119483
Minnesota,Excelsior,119473
California,Clayton,119428.5
"New Jersey","Budd Lake",119379
Iowa,Slater,119378
Connecticut,Weatogue,119367
Louisiana,Madisonville,119338.5
Connecticut,Colchester,119304
Massachusetts,Carver,119269
Maryland,"St Leonard",119254
"New Jersey",Mahwah,119240.5
California,Milpitas,119131.6
Massachusetts,"East Freetown",119120
"New Jersey","Spring Lake",119086
Washington,Issaquah,118903.3
"New Hampshire",Hollis,118896
Massachusetts,Acton,118890
Pennsylvania,Coopersburg,118849
"New York",Goshen,118828
"New Jersey",Plainsboro,118805
Texas,"Flower Mound",118701
Massachusetts,Holden,118645
Missouri,Chesterfield,118630
California,"Walnut Creek",118624.6
Massachusetts,Watertown,118624.3
Michigan,Romeo,118613
Connecticut,Madison,118496
"New York",Commack,118461.3
Connecticut,Cheshire,118421
Pennsylvania,Malvern,118391.5
Virginia,Midlothian,118386.6
Wisconsin,Fitchburg,118365
Florida,Parkland,118346
Pennsylvania,Sewickley,118305.7
"New Jersey",Shrewsbury,118258.5
"New York","Valley Stream",118193.6
Texas,"Mont Belvieu",118174
Maine,Kennebunk,118117
"New Jersey",Norwood,118113
Utah,"Saratoga Springs",118091
Massachusetts,"East Bridgewater",118081.3
"New York",Bethpage,118079
"New York",Pleasantville,118072
Massachusetts,Wilmington,118001
"New Jersey",Margate,117957
"New York",Amagansett,117900
California,"San Ramon",117885.4
Maryland,Arnold,117882
"New York",Loudonville,117882
"New Jersey","Cedar Grove",117753
"Rhode Island","East Greenwich",117738
Maryland,Accokeek,117700
Michigan,Napoleon,117686
Maryland,"Glenn Dale",117633
California,Winchester,117607
"New York","East Setauket",117545.8
"New York",Congers,117335
Illinois,"Highland Park",117319
Connecticut,"East Lyme",117312
"New Jersey","River Edge",117311
California,Encinitas,117298.5
Massachusetts,Holbrook,117238.5
"New York",Plainview,117065
Texas,"Sugar Land",117034.3
Pennsylvania,Mcmurray,116992
"New Jersey",Wayne,116975.8
Massachusetts,Groton,116936
Connecticut,"Old Saybrook",116901
"New York",Rush,116881
Washington,Covington,116880
"New Jersey",Shamong,116856
Maryland,Mitchellville,116790
California,Soquel,116756
Massachusetts,Longmeadow,116693
"New Hampshire",Brentwood,116549
"New Jersey",Colonia,116505.5
Connecticut,"Gales Ferry",116470
Indiana,Carmel,116447.4
"New York",Washingtonville,116318
Massachusetts,Ayer,116236
Virginia,Poquoson,116210
Louisiana,Mandeville,116183.5
Pennsylvania,Murrysville,116163.3
Georgia,Watkinsville,116157
Minnesota,"Long Lake",116124.7
"New York",Malverne,116113
Mississippi,Coldwater,116102
California,"Redondo Beach",116038.9
Pennsylvania,Horsham,116036
Maryland,Rockville,116024.4
Utah,"Park City",116005
Maryland,Sykesville,115987.8
Florida,"North Palm Beach",115950
"New York",Nesconset,115920
"New Jersey","Kendall Park",115882.7
"New Mexico","Los Alamos",115840.8
California,"Hawaiian Gardens",115804
"New Jersey","River Vale",115779
Minnesota,"Pine Island",115769
Texas,"Deer Park",115766
"New Jersey",Hillsborough,115693.8
Massachusetts,"West Boylston",115656
Massachusetts,"North Falmouth",115636
California,Cardiff-by-the-sea,115526
"North Dakota",Williston,115516
Texas,"The Woodlands",115511.8
Virginia,Dumfries,115510.3
Virginia,Aldie,115480
"New York","Kings Park",115443
California,"La Selva Beach",115367
Utah,"North Logan",115292
California,"Culver City",115271.5
Washington,Richland,115261.2
Wisconsin,Hubertus,115154
"New York",Islip,115139.5
California,"Glen Ellen",115139
Texas,Cypress,115092.6
Pennsylvania,Newtown,115077.7
Minnesota,"Elko New Market",115064
Minnesota,"Golden Valley",115037.5
Colorado,Niwot,115029
"New York","New Hyde Park",115018.7
"New York","Cold Spring",115013
"New Jersey","Cherry Hill",114968.6
Massachusetts,"North Attleborough",114960.3
Texas,Tuscola,114791
Wisconsin,Wrightstown,114773
Illinois,Deerfield,114716.3
Illinois,"Arlington Heights",114682.8
Georgia,Dunwoody,114678
Michigan,Wixom,114675
"New York","Sag Harbor",114565.7
"New Jersey",Stanhope,114511
"New York",Chatham,114504
Washington,Kirkland,114496.9
Maryland,Grasonville,114417
Virginia,"Falls Church",114352.8
Maryland,Kingsville,114299
Nevada,Winnemucca,114277
"New York","Putnam Valley",114228
"New York",Walden,114145
"New York",Babylon,113996
Maryland,Finksburg,113985
Ohio,Milford,113953.8
Illinois,Libertyville,113919.5
"New Jersey","Basking Ridge",113895
Connecticut,Kensington,113875
Maryland,Harwood,113870.5
Virginia,Gainesville,113801.8
"North Carolina",Apex,113786.5
Maine,"Long Island",113773
Massachusetts,Georgetown,113770
"New Jersey",Bayville,113761.5
Maryland,"Severna Park",113761
Massachusetts,Norfolk,113690
California,Eastvale,113676
"New York",Lagrangeville,113613.5
"New York",Harrison,113607
California,Norco,113548.5
"New York",Elmont,113529.8
"New Jersey",Edison,113513.6
"New York",Nyack,113495
Pennsylvania,Holland,113458.3
Virginia,Yorktown,113416.3
Illinois,Algonquin,113415
"New Jersey",Chester,113362
Arizona,Globe,113347.5
Tennessee,Apison,113344
"New York","Highland Falls",113324
Utah,Riverton,113290
"New Jersey",Hampton,113227
Connecticut,Higganum,113216
"New York","East Norwich",113199
Connecticut,"East Hampton",113137.5
"New York",Brewster,113101
California,"Simi Valley",112996.2
California,"Mountain View",112980.7
Colorado,"Highlands Ranch",112903.4
Maryland,"Tall Timbers",112886
"New York","N Massapequa",112844
Massachusetts,Charlton,112818
"New Jersey","North Haledon",112774
"New Jersey","Haddon Heights",112693
"New York",Ossining,112648.5
Minnesota,Andover,112636.7
Minnesota,"Eden Prairie",112547
Colorado,Louisville,112526
Texas,Westlake,112500
"New York",Delhi,112500
"New York",Latham,112476
Nevada,"Zephyr Cove",112431.3
California,Fremont,112430.5
"New Jersey","Fair Lawn",112369
Massachusetts,Sterling,112346.5
Utah,Kaysville,112321
California,"Westlake Village",112243.5
Wisconsin,Cedarburg,112242
"New York",Thiells,112235
"New Jersey","Ocean City",112218
